2.7 -249 2.41177 -89.0054
2.8 -249 2.50092 -88.9985
2.9 -249 2.59005 -88.9914
3 -249 2.67916 -88.984
3.1 -249 2.76825 -88.9764
3.2 -249 2.85732 -88.9685
3.3 -249 2.94637 -88.9603
3.4 -249 3.0354 -88.952
3.5 -249 3.1244 -88.9433
3.6 -249 3.21338 -88.9345
3.7 -249 3.30233 -88.9253
3.8 -249 3.39126 -88.9159
3.9 -249 3.48016 -88.9063
4 -249 3.56904 -88.8964
4.1 -249 3.65788 -88.8863
4.2 -249 3.7467 -88.8759
4.3 -249 3.8355 -88.8653
4.4 -249 3.92426 -88.8545
4.5 -249 4.01299 -88.8433
4.6 -249 4.1017 -88.832
4.7 -249 4.19037 -88.8204
4.8 -249 4.27901 -88.8085
4.9 -249 4.36761 -88.7964
5 -249 4.45619 -88.7841
5.1 -249 4.54473 -88.7715
5.2 -249 4.63323 -88.7586
5.3 -249 4.7217 -88.7455
5.4 -249 4.81014 -88.7322
5.5 -249 4.89853 -88.7186
5.6 -249 4.9869 -88.7048
5.7 -249 5.07522 -88.6907
5.8 -249 5.1635 -88.6764
5.9 -249 5.25175 -88.6618
6 -249 5.33995 -88.647
6.1 -249 5.42812 -88.6319
6.2 -249 5.51624 -88.6166
6.3 -249 5.60432 -88.6011
6.4 -249 5.69236 -88.5853
6.5 -249 5.78035 -88.5692
6.6 -249 5.86831 -88.5529
6.7 -249 5.95621 -88.5364
6.8 -249 6.04408 -88.5196
6.9 -249 6.13189 -88.5026
7 -249 6.21966 -88.4854
7.1 -249 6.30739 -88.4679
7.2 -249 6.39506 -88.4501
7.3 -249 6.48269 -88.4321
7.4 -249 6.57027 -88.4139
7.5 -249 6.65779 -88.3954
7.6 -249 6.74527 -88.3767
7.7 -249 6.8327 -88.3577
7.8 -249 6.92007 -88.3385
7.9 -249 7.0074 -88.3191
8 -249 7.09467 -88.2994
8.1 -249 7.18188 -88.2795
8.2 -249 7.26905 -88.2593
8.3 -249 7.35615 -88.2389
8.4 -249 7.4432 -88.2183
8.5 -249 7.5302 -88.1974
8.6 -249 7.61714 -88.1762
8.7 -249 7.70402 -88.1549
8.8 -249 7.79085 -88.1333
8.9 -249 7.87761 -88.1114
9 -249 7.96432 -88.0893
9.1 -249 8.05096 -88.067
9.2 -249 8.13755 -88.0445
9.3 -249 8.22407 -88.0217
9.4 -249 8.31054 -87.9986
9.5 -249 8.39694 -87.9754
9.6 -249 8.48327 -87.9518
9.7 -249 8.56955 -87.9281
9.8 -249 8.65576 -87.9041
9.9 -249 8.7419 -87.8799
10 -249 8.82798 -87.8554
10.1 -249 8.91399 -87.8307
10.2 -249 8.99994 -87.8058
10.3 -249 9.08582 -87.7806
10.4 -249 9.17163 -87.7552
10.5 -249 9.25737 -87.7296
10.6 -249 9.34304 -87.7037
